Days,ID,treat,Plant,Mandarin,WT,DO,OSS,TN,DTN,TP,DTP,Chl,CH4,CO2,ChlTN,ChlTP,Carpbiomass,Mandarinbiomass,Carpnumber,Daphnia,Cladoceran,Copepod,Rotifer,Total,Phytoplankton,zppp,Cyanophyta,Bacillariophyta,Pyrrophyta,Chrysophyta,Cryptophyta,Euglenophyta,Chlorophyta,Cla,Cop,Rot,Zoopsize
18,9,HPMP,High,Present,27.2,6.25,6.2,0.71,0.46,0.0086,0.0036,10.8,1.2983541,-188.2055611,15.21126761,1255.813953,,,,,,,,,,,,,,,,,,,,,
18,12,HPMP,High,Present,27.3,5.41,1.4,0.56,0.51,0.0058,0.0046,6.4,1.4842715,-194.8427152,11.42857143,1103.448276,,,,,,,,,,,,,,,,,,,,,
21,1,LPMA,Low,Absent,27.5,8.22,8,0.81,0.45,0.0173,0.0043,17.2,2.3994549,-290.2349125,21.2345679,1293.233083,2.36,0,40,27,33,119,79,231,36.75676,6.284558269,0.948787652,0.001980588,0.029708821,0,0.011317646,0,0.008205293,0.192982456,0.578947368,0.228070175,4.529411765
21,2,LPMA,Low,Absent,27.4,8.01,7.6,0.94,0.54,0.0164,0.0051,16.6,2.0156895,-283.5495197,17.65957447,741.0714286,2.42,0,40,21,33,80,68,181,25.87368,6.995525955,0.883031714,0.00281367,0.03215623,0,0,0.080390575,0.001607811,0.297297297,0.540540541,0.162162162,4.30952381
21,4,LPMA,Low,Absent,27.5,7.02,7,0.53,0.46,0.0125,0.0045,10.8,1.4565749,-251.9541978,20.37735849,1028.571429,2.6,0,40,21,21,131,82,234,14.8294,15.77946512,0.013608103,0.940806776,0.035065478,0,0,0,0.010519643,0.050724638,0.485507246,0.463768116,3.391304348
21,3,LPMP,Low,Present,27.5,5.44,1.6,0.83,0.59,0.0094,0.005,6.9,1.8594831,-233.413953,8.313253012,734.0425532,0,1.9,0,51,51,138,162,351,5.2102,67.36785536,0.166212429,0.279950866,0.19960846,0.239530152,0,0,0.114698092,0.145299145,0.393162393,0.461538462,7.389473684
21,5,LPMP,Low,Present,27.5,4.98,1.2,0.68,0.54,0.0076,0.0034,5.1,1.8434159,-75.3641598,7.5,671.0526316,0,2.43,2,39,51,231,18,300,2.7674,108.4050011,0.02782395,0.901929609,0.065043001,0,0,0,0.00520344,0.17,0.77,0.06,10.90909091
21,6,LPMP,Low,Present,27.6,5.32,1.6,0.53,0.46,0.0093,0.0051,6.5,1.6128949,-129.2317496,12.26415094,698.9247312,0.13,2.17,0,51,51,234,51,336,4.325,77.68786127,0.007815029,0.908947977,0.083236994,0,0,0,0,0.151785714,0.696428571,0.151785714,10.33846154
21,7,HPMA,High,Absent,27.6,5.64,2.2,0.75,0.57,0.0105,0.0045,7,1.632965,-183.6584026,9.333333333,666.6666667,2.56,0,40,21,21,172,51,244,11.49104,21.23393531,0.735898662,0.006796726,0.257304613,0,0,0,0,0.145833333,0.5,0.354166667,7.176470588
21,10,HPMA,High,Absent,27.5,5.66,2.4,0.75,0.47,0.0077,0.0034,8.2,1.3395496,-231.7497945,10.93333333,1064.935065,2.74,0,40,24,27,81,39,147,9.7348,15.10046431,0.88741009,0.008905417,0.10177619,0,0,0,0.001908304,0.183673469,0.551020408,0.265306122,4.260869565
21,11,HPMA,High,Absent,27.8,6.04,6.8,0.71,0.47,0.0087,0.0038,10.6,1.698423,-206.5949453,14.92957746,1218.390805,2.26,0,40,33,33,175,3,211,14.69816,14.35553838,0.88678855,0,0.11321145,0,0,0,0,0.297297297,0.675675676,0.027027027,5.480519481
21,8,HPMP,High,Present,27.8,5.26,1.6,0.69,0.42,0.0086,0.0046,6.4,1.761215,-184.7894789,9.275362319,744.1860465,0.52,2.25,4,39,42,104,75,221,8.57,25.78763127,0.785204201,0.020630105,0.194165694,0,0,0,0,0.130841121,0.635514019,0.23364486,5.08045977
21,9,HPMP,High,Present,27.7,6.85,7,0.89,0.44,0.01,0.004,14.4,1.439653,-195.4194785,16.17977528,1440,0.35,1.85,8,21,24,188,39,251,23.31832,10.76406877,0.642529994,0,0.356801005,0,0,0,0.000669002,0.068376068,0.820512821,0.111111111,4.290598291
21,12,HPMP,High,Present,27.7,5.49,2.4,0.6,0.53,0.0069,0.0061,8.1,1.8345913,-166.1568949,13.5,1173.913043,0.28,2.05,7,33,42,128,9,179,16.2392,11.02271048,0.551751318,0.446475196,0,0,0,0,0.001773486,0.113821138,0.861788618,0.024390244,4.313253012
